file,orig_bytes,webp_bytes,ratio
usj-dk.png,3335412,126862,0.038,kept
usj-main.png,504090,85294,0.169,kept
usj-mario.jpg,247623,21128,0.085,kept
usj-mariokart-popcorn.jpg,247623,21128,0.085,kept
usj-superstar-popcorn.png,84422,8018,0.095,kept
usj-superstar.png,84422,8018,0.095,kept
usj-yoshi-mug.jpg,279050,24892,0.089,kept
usj-yoshimug.jpg,279050,24892,0.089,kept
usj.jpg,2191761,379536,0.173,kept
usjmap.png,2227056,270710,0.122,kept
valuablecardtokyo.jpeg,850418,392336,0.461,kept
visao-geral-akihabara.png,571067,71146,0.125,kept
visao-geral-narita-todos-terminais.png,330907,49650,0.15,kept
visao-geral-terminal-2.png,863978,176868,0.205,kept
visao-geral-terminal3.png,383491,76534,0.2,kept
visao-nova-placa-arrivals.png,2212557,188464,0.085,kept
visaogeral-kanda.png,260127,49548,0.19,kept
visaogeral-kyoto1.png,562596,76446,0.136,kept
visaogeral-ryogoku.png,370941,77106,0.208,kept
visaogeral-tokyostation.png,415195,84348,0.203,kept
visaogeral2-roppongi.png,1091125,190940,0.175,kept
wako-tonkatsu-akihabara.png,540631,55612,0.103,kept
weird-vending-machine-corner.png,243502,26052,0.107,kept
yakiniku-ushigoro-omotesando.png,401319,34214,0.085,kept
yakushima.jpg,395189,498710,1.262,skipped_no_gain
yamazaki.png,2241039,219900,0.098,kept
yanagiba.png,2197397,84338,0.038,kept
yokohama.jpg,19914,22618,1.136,skipped_no_gain
yoshitoku.jpg,330389,266214,0.806,kept
yoshoku-koharuken.png,414594,26366,0.064,kept
youtube-feed.png,2142651,200646,0.094,kept
yoyogi-park.png,397258,48180,0.121,kept
yugiohtcglogo.png,36652,17692,0.483,kept
zezankyo.png,396075,17454,0.044,kept
